"tp","fp","method"
1,1,"ICE"
0.989179404408073,0.247216158132194,"ICE"
0.98499829623415,0.234103362828645,"ICE"
0.965799919972972,0.172247905948069,"ICE"
0.955840746028749,0.161968342907994,"ICE"
0.934436119449177,0.12569862726654,"ICE"
0.905850771001366,0.102467989688334,"ICE"
0.897102035083483,0.0978371393101687,"ICE"
0.87103358505359,0.0807388444901111,"ICE"
0.857051626458673,0.0773122350093707,"ICE"
0.837137143074814,0.0664656077006259,"ICE"
0.81544909836312,0.0554307722271976,"ICE"
0.81099338920659,0.0541894913607979,"ICE"
0.795324889137866,0.0471335545623945,"ICE"
0.790341983290894,0.0459453251720717,"ICE"
0.768137812822174,0.0389198846945868,"ICE"
0.754257962051065,0.0344376690794374,"ICE"
0.746921967734972,0.0330544025907902,"ICE"
0.726403472876523,0.0280487448860921,"ICE"
0.723807711678486,0.0275957995302018,"ICE"
0.701248564317651,0.0237115435428839,"ICE"
0.677227813344019,0.0203297404345368,"ICE"
0.676711934788213,0.0202595247237829,"ICE"
0.657964366270488,0.0179145936199448,"ICE"
0.654796391159485,0.0178446936517158,"ICE"
0.634433579719411,0.0154442098139451,"ICE"
0.618398996459856,0.0134848417635289,"ICE"
0.617619609150445,0.0134151189118642,"ICE"
0.597218111231693,0.0115222755111181,"ICE"
0.595905775273688,0.0114699833723697,"ICE"
0.579095629320141,0.0103850541277173,"ICE"
0.563155055693162,0.00936944154152425,"ICE"
0.559419907609512,0.00903663261323446,"ICE"
0.545786003034002,0.00803850872397555,"ICE"
0.54394165810542,0.00803850872397555,"ICE"
0.523318338313933,0.00714477128356162,"ICE"
0.507075122104987,0.00660240827873076,"ICE"
0.506287720530184,0.00655011613998229,"ICE"
0.487254399748568,0.00563990852606084,"ICE"
0.485679596598962,0.00560504710022852,"ICE"
0.467317742146281,0.0052538639662087,"ICE"
0.452471852958136,0.00478034485850957,"ICE"
0.452471852958136,0.00478034485850957,"ICE"
0.433561169651603,0.00420230121104634,"ICE"
0.433036235268401,0.00415000907229786,"ICE"
0.409757944412673,0.00367724135478242,"ICE"
0.39742526956072,0.00341552267680457,"ICE"
0.395063064836311,0.00341552267680457,"ICE"
0.376011540912534,0.00292441748885366,"ICE"
0.37496167214613,0.0029069867759375,"ICE"
0.362967137809646,0.00273102037158033,"ICE"
0.346026862809204,0.00243290056093408,"ICE"
0.346026862809204,0.00243290056093408,"ICE"
0.332123403496,0.00211879738335129,"ICE"
0.330811067537994,0.00211879738335129,"ICE"
0.312848103080344,0.00182128810092259,"ICE"
0.302398070642263,0.00171666937055622,"ICE"
0.301085734684258,0.00171666937055622,"ICE"
